frequency,tds_amp_mPFC_pre_limbic_1,tds_amp_mPFC_pre_limbic_2,tds_amp_mPFC_infra_limbic_1,tds_amp_mPFC_infra_limbic_2,tds_amp_Hippocampus_CA1,tds_amp_Hippocampus_MOL_layer,tds_amp_Hippocampus_GD_1,tds_amp_Hippocampus_GD_2,tds_amp_Amygdala_lateral_1,tds_amp_Amygdala_lateral_2,tds_amp_Amygdala_basolateral_1,tds_amp_Amygdala_basolateral_2,tds_amp_Inferior_colliculus_1,tds_amp_Inferior_colliculus_2,tds_amp_Inferior_colliculus_3,tds_amp_Inferior_colliculus_4,tds_phase_mPFC_pre_limbic_1,tds_phase_mPFC_pre_limbic_2,tds_phase_mPFC_infra_limbic_1,tds_phase_mPFC_infra_limbic_2,tds_phase_Hippocampus_CA1,tds_phase_Hippocampus_MOL_layer,tds_phase_Hippocampus_GD_1,tds_phase_Hippocampus_GD_2,tds_phase_Amygdala_lateral_1,tds_phase_Amygdala_lateral_2,tds_phase_Amygdala_basolateral_1,tds_phase_Amygdala_basolateral_2,tds_phase_Inferior_colliculus_1,tds_phase_Inferior_colliculus_2,tds_phase_Inferior_colliculus_3,tds_phase_Inferior_colliculus_4
0.0,-5.058560622712706e-08,0.20142936805245618,-2.0996215594179902e-08,-6.915122811342106e-08,0.1780769779957696,0.0032830905709788187,-1.023424635756229e-07,-2.0473312913803686e-07,0.05346351726790053,-4.025888025876653e-08,-4.772193036882384e-08,-4.0429102517919265e-08,0.02628532831166923,-1.5216577981944358e-07,-1.0803608947899975e-07,-4.901634785220717e-08,1.57,0.0,1.57,1.57,0.0,0.0,1.57,1.57,0.0,1.57,1.57,1.57,0.0,1.57,1.57,1.57
0.1,0.04601250319907499,0.6503513121895883,0.12871955167816582,0.0053989781181402975,1.0072140507868186,0.2378787252543388,0.0027256184352892044,0.058213226182282495,0.1613394590866249,0.016341329443517967,0.08167698736926524,0.025648629165796095,0.1030125770529544,0.29108919907815434,0.3537420471895888,0.42999988574456804,2.79,2.95,2.63,5.88,6.07,5.8100000000000005,2.85,1.57,5.72,6.25,2.7,2.3000000000000003,2.5500000000000003,6.2700000000000005,2.93,3.12
0.2,0.01712644666602352,0.24284898020806026,0.12327153660935913,-0.045364572643577614,0.8190475147999745,0.165639355428725,0.11903665086442418,0.5343829652518214,0.31429564394671644,0.0836240384176711,0.18461468612826634,0.01863290568032573,0.10478302436316014,0.2368606159622188,0.23958205469628036,0.37545272904720967,0.17,0.72,5.73,5.72,5.96,2.5100000000000002,2.08,1.67,5.0600000000000005,5.64,1.96,1.97,2.24,2.86,3.02,3.0300000000000002
0.30000000000000004,0.11016188452644265,0.21225632410377973,0.091997605160072,0.1342254287353211,0.34275022061593935,0.1661266734554142,0.168440415649264,0.3368114870036473,0.23729411242967716,0.15937087272007835,0.22338493110552307,0.11095420861113692,0.1419393798438403,0.17760927726337594,0.2956209675913923,0.15742140394508045,4.18,5.79,4.48,0.9,1.37,1.06,4.47,5.49,4.26,4.95,4.66,4.45,1.02,5.2,5.46,2.91
0.4,0.1269695125906209,0.1874999733814918,0.1533005140638058,0.06190014741095205,0.23413775091505973,0.08904462631506628,0.08420123798142255,1.2650918026524898,0.09827276548136767,-0.0007448463745945325,0.09853975768544744,0.043075121203210304,0.2492630415696819,-0.05831543117324388,0.22238001028388046,0.5086291801917985,0.06,0.62,6.2700000000000005,3.16,2.25,3.06,3.5300000000000002,3.0300000000000002,5.72,0.01,0.88,2.3000000000000003,3.29,2.74,2.66,5.92
0.5,0.11074372105202478,0.6852834924818506,0.16634068048240436,0.14044851082994084,0.3343039722195105,0.07558993441946138,0.046681245805117774,0.7418194515317393,0.061915103050348475,0.17284466869491286,0.08792532005968381,-0.0010771108989649746,0.14175678787769233,-0.0417326527581764,0.015183131288136984,0.1786708647671874,2.47,5.51,2.79,2.93,4.72,4.68,1.02,6.15,6.2700000000000005,5.8500000000000005,3.45,2.16,6.04,1.9000000000000001,1.34,5.75
0.6000000000000001,0.13654671868525883,0.27521626136382654,0.20688220134963373,0.15539266995435835,0.4201808139697663,0.03958325717496968,0.09571032190715136,0.941528738186673,0.17862170083115875,0.19579994233217785,0.1389975301307385,0.021553219697860265,0.1613466865347485,-0.008467121317674362,0.1412265644188357,0.05151171439060697,4.61,4.54,1.23,1.4000000000000001,4.2700000000000005,3.11,2.77,5.5,1.3800000000000001,4.79,4.75,1.71,5.98,2.44,3.69,5.78
0.7000000000000001,0.06633173899607325,0.26982123712218103,0.08044657676229913,0.0221419799839885,0.22937633995656895,0.1472241299268377,0.08000048906903737,0.820172436857927,0.1705944577773058,0.19541081426869095,0.2432380892674639,0.16045024990953638,0.1872844391882897,0.07680215216986877,0.0922444334398422,0.15235519824395954,0.38,4.61,3.17,0.37,2.94,5.79,3.77,1.79,5.78,5.84,2.39,2.59,5.67,6.17,0.14,3.04
0.8,0.11770831482306052,0.3433800605488878,0.054210144487137846,0.06043282743209147,0.22659712410289282,0.11725443626602113,0.16614658506993576,0.05938437841906331,0.23262103985602764,0.17428278209818526,0.009495965281545492,0.02169679159246845,0.09315347059838255,-0.04688530145702241,0.023034028692175232,0.1506437939731728,2.4,6.01,2.3000000000000003,5.42,6.0200000000000005,1.1500000000000001,4.78,2.0100000000000002,2.39,5.6000000000000005,4.78,2.32,1.01,0.51,5.63,2.35
0.9,0.2681189567791358,0.13430569534633355,0.32773167742213904,0.1991367684075839,0.3808238030902659,0.20806904251829053,0.5318848948055555,-0.041818211988565945,0.3519422502894198,0.286713702620819,0.5276525188849658,0.24624057413697753,0.1658921512953162,-0.05759496042540231,-0.023571542596137564,0.14255874737964316,3.52,2.16,3.58,3.41,3.0700000000000003,3.66,3.95,1.79,0.68,0.8300000000000001,3.72,0.68,2.97,5.23,1.92,5.25
