frequency,tdbs_amp_mPFC_pre_limbic_1,tdbs_amp_mPFC_pre_limbic_2,tdbs_amp_mPFC_infra_limbic_1,tdbs_amp_mPFC_infra_limbic_2,tdbs_amp_Hippocampus_CA1,tdbs_amp_Hippocampus_MOL_layer,tdbs_amp_Hippocampus_GD_1,tdbs_amp_Hippocampus_GD_2,tdbs_amp_Amygdala_lateral_1,tdbs_amp_Amygdala_lateral_2,tdbs_amp_Amygdala_basolateral_1,tdbs_amp_Amygdala_basolateral_2,tdbs_amp_Inferior_colliculus_1,tdbs_amp_Inferior_colliculus_2,tdbs_amp_Inferior_colliculus_3,tdbs_amp_Inferior_colliculus_4,tdbs_phase_mPFC_pre_limbic_1,tdbs_phase_mPFC_pre_limbic_2,tdbs_phase_mPFC_infra_limbic_1,tdbs_phase_mPFC_infra_limbic_2,tdbs_phase_Hippocampus_CA1,tdbs_phase_Hippocampus_MOL_layer,tdbs_phase_Hippocampus_GD_1,tdbs_phase_Hippocampus_GD_2,tdbs_phase_Amygdala_lateral_1,tdbs_phase_Amygdala_lateral_2,tdbs_phase_Amygdala_basolateral_1,tdbs_phase_Amygdala_basolateral_2,tdbs_phase_Inferior_colliculus_1,tdbs_phase_Inferior_colliculus_2,tdbs_phase_Inferior_colliculus_3,tdbs_phase_Inferior_colliculus_4
52.0,22.948878918286287,34.0911588904194,16.512277881712155,31.731125448755943,147.21998603624144,54.94846813464301,204.73162841036438,618.7713990348568,3.970944796520339,3.682911016781493,7.3348199794732825,8.304680131920762,1.6621279676778367,2.0795959179300754,3.855465599370128,4.364790091376682,2.17,2.07,2.33,2.2600000000000002,1.83,0.63,0.2,2.5500000000000003,1.31,1.47,3.0,1.76,5.41,5.8100000000000005,0.0,2.1
52.01,34.40425689054209,57.10999034199296,30.65901070091655,39.42186358715218,139.90528737292738,26.694435273028223,127.12047096331801,954.2452958465748,20.369861685046203,16.546162449816133,13.4664720064168,17.922688524819147,1.0227596938449712,0.3667120561984469,2.4441172411741126,3.492818783791384,0.25,0.15,0.46,0.59,0.53,5.44,5.16,3.09,5.94,5.88,1.8800000000000001,0.28,2.41,5.93,0.54,1.18
52.019999999999996,44.93304936169778,72.53463360092692,38.80273080030205,32.6680503085886,41.058385351211456,13.378445337252884,113.30405823820328,1540.170117886497,30.308459737564824,18.801528039833073,9.668555016114988,13.325674936808955,2.0600730877245113,0.7996906678465616,4.072495836127937,1.3755487292667075,4.55,4.61,4.89,5.16,0.44,2.08,5.07,1.68,4.49,4.47,0.85,5.45,0.19,5.15,5.5,2.77
52.029999999999994,42.45356727085114,61.00940768308819,27.994023135795516,11.0782805955753,68.08308366232033,26.17390366886502,191.93563854531902,508.09811089744096,20.550402725377154,10.572635819056392,2.9988547777851147,9.324490975956921,1.3864123845552414,0.6283329517383917,2.151056186640945,9.798068478330656,2.6,2.81,2.9,3.19,0.25,0.77,3.9,0.07,3.27,3.7,5.0200000000000005,4.8100000000000005,4.5,2.05,3.2800000000000002,1.57
52.03999999999999,22.439210903723488,30.72655924997482,12.629796832094458,2.3245017608462333,82.25031576574963,64.12125822270337,155.4677081576827,1507.6509169032222,6.537866848076221,3.1111755829906467,1.2144749847572323,2.543799842868348,1.6677847463649371,1.683942521858141,4.038480640007378,12.914561201824748,0.68,0.98,0.68,6.2700000000000005,5.34,5.88,2.29,4.8,2.11,2.73,2.2800000000000002,3.45,0.92,6.2,0.04,0.2
52.04999999999999,3.125249520689578,6.827547399165795,2.7312283205506147,3.037446814885155,162.29383045038014,132.25822704981402,83.75218320769818,943.9643985415782,13.616978531597928,5.1369962813075505,6.1500513051758725,1.2643285306614922,4.078484099426006,2.565777831685694,6.674658122769677,10.005454001731753,4.89,5.33,4.76,4.16,4.14,4.5200000000000005,0.48,5.33,0.6,1.08,0.47000000000000003,1.25,5.33,4.64,4.45,5.13
52.05999999999999,2.3326223372007426,1.5874465062012038,1.104763578192734,3.4830900922685237,96.48260271845176,119.17027229255345,42.86606589361693,1771.8158582892227,16.91920999534443,5.868698192949134,9.5678879272512,3.963039982509103,4.173065369239565,2.366929776780501,6.965151225772718,6.576137392774181,1.27,0.92,2.81,2.34,2.93,3.0100000000000002,3.06,3.95,4.92,5.05,4.88,4.5600000000000005,3.74,3.13,2.66,3.93
52.069999999999986,14.490938645390736,11.822988217303251,0.8880008867632531,1.187377293957496,98.80876497722971,42.59721938036846,112.54230048744081,1616.3459081638073,20.347281952141138,11.348561114345713,12.620484063074192,11.901149636992843,1.7470315617151555,0.8207729092783705,5.062678837390252,2.2554014143367755,5.16,4.91,4.63,4.7,1.61,1.29,0.98,2.12,2.92,2.8000000000000003,2.92,2.71,2.11,1.27,0.72,3.61
52.079999999999984,25.318339815671102,21.966739225607693,9.58425362591162,10.298371210735615,98.41685592318923,50.999753184206625,213.46710263585007,5628.923262472981,33.176862511271395,25.2925981822824,22.449006347800413,22.419205954484024,0.530365927142139,0.42149303390813403,3.346779143400641,2.383645623283105,3.2,3.0300000000000002,2.68,2.7600000000000002,0.05,5.18,5.73,0.19,1.22,1.09,1.06,1.1300000000000001,4.45,4.3500000000000005,4.87,3.63
52.08999999999998,25.753683156493924,21.73811536069257,15.635059073844918,23.537892538278253,130.79475911247658,115.23193448795536,233.2586810510717,6142.144199808427,29.929861166356368,20.03008377314779,17.313613458139862,14.010087264144657,0.47932148632373206,-1.5306439171074637,2.3440462221736107,2.12814117338626,1.21,1.29,1.05,1.21,2.42,2.77,4.78,4.5,6.11,6.04,5.8100000000000005,6.140000000000001,2.66,2.65,2.92,2.72
52.09999999999998,18.382371431006305,9.001343047320386,6.851332194970709,16.777750417125503,299.91547845038303,129.6984221759025,397.2537906117989,2701.846350923714,16.62181788669548,13.215159610750774,9.84847661115068,10.121373506428695,3.936119364765493,-4.281809650012068,0.6964180704783497,2.888342344100474,5.3,6.0,5.78,6.140000000000001,0.77,1.01,4.21,2.39,5.46,5.7700000000000005,5.57,6.16,1.2,1.1400000000000001,1.28,1.6300000000000001
52.10999999999998,14.116373192263406,6.173830307523415,2.578030547893755,3.7625992178568852,225.61271300498476,41.27771097541365,571.5419859670558,1023.7443820742335,35.62274372323781,38.95865635643719,34.24302650736509,30.71964219076385,6.663810045369981,0.48072351456684564,-1.0413290051272248,1.1448071768199828,2.62,0.85,0.92,5.76,5.6000000000000005,5.79,2.94,4.83,4.82,4.8500000000000005,4.69,5.03,6.11,5.92,6.04,0.36
52.119999999999976,15.85059976416518,17.841608502918287,12.639758836028141,-1.3521920309616577,57.6972680168524,35.61798271138952,483.9655737494062,1166.639600192292,68.76427088170915,67.9313431536275,63.382666518049454,51.03209531747488,4.639714649958148,1.7934997086868476,0.3773631482057975,1.5019590785664236,0.25,5.74,5.74,5.24,4.73,0.88,1.51,2.47,3.5,3.39,3.19,3.47,4.87,4.43,4.51,5.17
52.129999999999974,10.719068293273851,22.91000259767039,28.29469302693155,12.928044442393512,67.96744548206168,33.95319122547044,251.79372871672513,500.8353535842028,67.8267853524783,57.873117289099895,55.3467674177644,40.97501798817382,0.8261786581113738,-0.6085145831375817,2.9557479260503907,2.017131729795608,4.63,4.3,4.26,3.89,4.88,5.91,0.21,0.41000000000000003,1.98,1.79,1.56,1.75,4.01,2.96,2.81,3.43
52.13999999999997,2.262236695709953,14.62238062799404,22.856778770663606,12.266417904886081,85.08008894550883,21.397827325670924,100.1922157781666,624.9626290413219,42.189349402946725,36.77226936639105,44.516734340277544,26.954828953875904,2.8312535545233786,0.1426404952094161,3.7237305771109246,1.0525146640738352,2.96,3.09,2.88,2.39,3.45,6.26,5.91,4.36,0.31,0.0,6.05,6.04,3.5100000000000002,2.47,0.64,1.21
52.14999999999997,0.5251704375254442,8.80144797272286,6.0883428740088785,1.7994349832814551,77.4952965311736,51.4015040416864,47.69221530121644,1601.0332315478377,19.69703107104761,26.103286717975127,43.34860011992315,27.66828614856841,5.493814763236913,3.388336480596918,4.73106487116642,1.4159006430537777,1.87,3.16,2.37,4.83,1.73,5.3,5.0600000000000005,1.87,4.46,4.11,4.01,3.83,2.54,2.88,4.51,5.03
52.15999999999997,2.071974608321818,18.312069477479323,6.925351137299267,6.132019193013289,38.86775165804462,42.29607660666157,42.49234660282671,1764.8243640257826,13.97928527990338,17.09814950038625,31.10620697398634,22.192691668667525,3.758929574951864,3.5918064613610277,3.4278532536104165,1.5621973242276164,2.46,2.44,2.37,2.75,5.7,3.85,3.54,5.93,1.84,1.97,1.94,1.92,1.3800000000000001,1.47,2.57,2.61
52.169999999999966,2.86285503336354,24.89904992625083,-0.438724642616094,0.7358936910067013,27.452582571988156,24.138472465872443,76.88877628546526,486.52362170375284,14.568484696228516,6.168692311745727,4.417529938909632,3.790826342875643,0.7595233857677999,-0.6101018158041966,1.1164762104059014,0.8036947150659598,1.24,1.24,1.12,1.24,2.98,2.33,1.77,3.65,0.05,0.32,0.22,0.39,0.38,0.13,0.84,0.1
52.179999999999964,1.1073399251801817,28.482508201058437,10.772779023849363,6.911192960843547,118.76953548393959,30.844560184753856,71.67866029030854,2091.7122290165394,21.724315635938936,16.089449468497396,13.573433168010478,11.526413624670662,1.6002405555462258,1.094406092680584,2.749775023929299,1.1511690134507668,0.16,0.05,6.08,6.05,0.98,0.76,5.99,1.08,4.8500000000000005,5.33,5.22,5.5,0.29,5.74,5.5,4.3500000000000005
52.18999999999996,0.7607172222552019,28.21868771975949,20.264053221050375,19.868749356990268,214.0013268808397,18.218389714353297,70.68373409776851,4950.655172351887,10.068738076092616,9.96447505179317,10.308122332476715,9.698989180054676,3.0310697120983314,3.56996419572662,1.2762294551212248,2.003918371032722,5.61,5.23,4.8,4.59,5.42,5.29,3.69,5.19,3.4,4.32,4.79,4.63,5.99,5.68,4.39,2.5300000000000002
