frequency,tds_amp_mPFC_pre_limbic_1,tds_amp_mPFC_pre_limbic_2,tds_amp_mPFC_infra_limbic_1,tds_amp_mPFC_infra_limbic_2,tds_amp_Hippocampus_CA1,tds_amp_Hippocampus_MOL_layer,tds_amp_Hippocampus_GD_1,tds_amp_Hippocampus_GD_2,tds_amp_Amygdala_lateral_1,tds_amp_Amygdala_lateral_2,tds_amp_Amygdala_basolateral_1,tds_amp_Amygdala_basolateral_2,tds_amp_Inferior_colliculus_1,tds_amp_Inferior_colliculus_2,tds_amp_Inferior_colliculus_3,tds_amp_Inferior_colliculus_4,tds_phase_mPFC_pre_limbic_1,tds_phase_mPFC_pre_limbic_2,tds_phase_mPFC_infra_limbic_1,tds_phase_mPFC_infra_limbic_2,tds_phase_Hippocampus_CA1,tds_phase_Hippocampus_MOL_layer,tds_phase_Hippocampus_GD_1,tds_phase_Hippocampus_GD_2,tds_phase_Amygdala_lateral_1,tds_phase_Amygdala_lateral_2,tds_phase_Amygdala_basolateral_1,tds_phase_Amygdala_basolateral_2,tds_phase_Inferior_colliculus_1,tds_phase_Inferior_colliculus_2,tds_phase_Inferior_colliculus_3,tds_phase_Inferior_colliculus_4
52.0,0.2813054048062289,0.4234399725219181,0.2624349430074605,0.3328292376377324,0.5484528055216648,0.4584161116280178,0.5623226589190896,1.1263398291571665,0.22957375021290083,0.21756527043805332,0.22072523318004164,0.21630604282758814,0.20820425953193794,0.20515980386471377,0.26891200057925496,0.27792340935330184,5.79,2.8000000000000003,5.86,2.68,1.8900000000000001,2.29,2.48,3.17,2.79,2.77,5.88,5.87,2.43,5.67,2.54,5.54
52.01,0.35539424902414946,0.5284032071832735,0.3729374878962491,0.364492705831136,0.7263034149228448,0.5829885928141852,0.6416099510169299,1.5519644882544663,0.5754976478068227,0.5526489887571566,0.5520043885709163,0.5200967952489607,0.22280383075274368,0.18993411750020853,0.25051599384690315,0.2576940407396956,5.37,5.44,5.42,5.33,4.42,1.6,5.1000000000000005,5.7700000000000005,2.38,5.48,2.32,2.31,5.15,2.04,1.95,5.05
52.019999999999996,0.42047003189136734,0.6000419618454677,0.46007666014453397,0.37514575094570596,0.6545866134576225,0.5162304781042455,0.7154940337437178,1.0115812223042953,0.6826867426073837,0.6514497483804799,0.6475281382139724,0.6191771996617833,0.2737038650129879,0.2165899633526356,0.2519173680534674,0.29375550884378354,1.72,4.8500000000000005,4.8,1.59,0.6,0.99,4.55,5.03,4.83,1.6400000000000001,1.6300000000000001,1.62,1.36,4.59,1.36,1.41
52.029999999999994,0.3988533136967722,0.5636633189608944,0.4059189063260291,0.2636061406785456,0.3335012405076299,0.32893917590215604,0.6441787476870825,0.3069947252568924,0.465216837468283,0.4328226792894564,0.41768631344979823,0.4243439852990163,0.29156727996703646,0.2064052022149979,0.25386169675410303,0.31991275563524674,4.3,4.22,0.98,4.09,3.1,3.75,0.84,0.14,1.0,4.08,0.92,0.9,0.53,3.8200000000000003,0.65,3.88
52.03999999999999,0.26573260481093064,0.417130160875516,0.23585772306452477,0.07385835893471596,0.26054540098144724,0.4316558334429534,0.5159143581349809,1.6826529143637983,0.14240574797712127,0.0864185867038465,0.05582207452650288,0.09761072798812306,0.29404622090444554,0.1735261115460433,0.2260162309787812,0.2668991796437777,0.59,3.59,0.32,3.59,3.66,3.58,3.5100000000000002,5.39,3.87,3.56,3.5500000000000003,0.22,5.91,2.88,6.09,6.17
52.04999999999999,0.0748562286370913,0.22051822161858095,0.05799334787328312,0.06034376938777312,0.46351163994578326,0.6491758556835393,0.5289098819139683,2.174782660542466,0.28125221527704763,0.1310425081234114,0.14649994410248243,0.07575470104912174,0.28892391367664916,0.1787318678624914,0.1969995548585513,0.21194262263207084,0.2,6.16,2.98,3.75,3.02,3.0,3.0100000000000002,4.64,0.81,3.97,4.03,0.9500000000000001,1.8900000000000001,1.9100000000000001,2.0100000000000002,5.13
52.05999999999999,0.09587411429386838,0.17023834221924325,0.03775634565340137,0.10408225710966394,0.294377196566144,0.5922729541994772,0.5160143394015582,1.236259056865118,0.3220073307338305,0.15862724842237072,0.17702312202330278,0.12438076243006244,0.24787078141411262,0.17762483239090665,0.18049214089584706,0.22487339136733206,3.72,0.56,0.37,3.27,2.29,2.23,2.25,3.99,0.26,0.35000000000000003,3.52,0.49,4.25,4.2,1.09,4.1
52.069999999999986,0.24146416372712795,0.30123582844998753,0.1104766794243404,0.0606633984671294,0.407075812657965,0.31130749933028656,0.5006270113562525,0.8177366170805968,0.2841597589264513,0.19202158743289482,0.2058784328485181,0.1947017899450655,0.17229219548613764,0.1219154761817431,0.14950651534200032,0.20321802960849267,3.3000000000000003,3.23,0.12,6.1000000000000005,3.12,1.07,4.28,1.16,3.04,3.27,3.2600000000000002,3.36,3.5700000000000003,0.32,3.41,3.2600000000000002
52.079999999999984,0.332218584573201,0.3771308100598727,0.21110743392086267,0.14998993227283894,1.0529144818654925,0.659651759603222,0.8716774696444523,2.7893458847025356,0.38089946982839584,0.33720481488826964,0.35177066306186766,0.33011786138087984,0.09208357698228542,0.037205226806940744,0.10351351486057918,0.11504229408310393,5.93,2.66,5.91,2.75,5.51,5.93,0.01,3.7800000000000002,2.58,2.69,5.83,5.88,6.140000000000001,2.83,5.8100000000000005,2.62
52.08999999999998,0.377647937516283,0.3884985067504413,0.26964252264665584,0.26372387039088774,1.5150226205829642,1.2024467566123407,1.3245484926177284,3.821890555543926,0.4052285209129884,0.3507491987384598,0.36879857760843954,0.3326811144532452,0.02084009728380812,-0.0506088669930121,0.06044091765381825,0.06538659729102615,2.27,5.23,2.13,5.2700000000000005,4.76,5.04,5.36,3.08,1.8,1.84,1.84,5.03,3.43,5.37,1.93,2.32
52.09999999999998,0.3943177513093563,0.3396423718585306,0.2204263515154285,0.25297875158581296,1.5964783167119911,1.4662224084393438,1.5069281102774352,3.4389549034431104,0.3202712777121014,0.27800508690634146,0.29867675648643566,0.2507859609185176,0.1097221406664541,-0.08612964026531236,0.015650759023557486,0.0684244356790613,1.75,1.55,1.48,4.54,0.86,1.07,1.32,2.38,0.73,0.7000000000000001,3.87,0.75,3.27,3.2800000000000002,4.21,1.9000000000000001
52.10999999999998,0.3785966523041748,0.2804579436567769,0.09926448007351017,0.10968668923964711,1.317453019474508,1.3794610531011327,1.3791559790459318,2.1537140085026363,0.3734708698815969,0.3627738045090867,0.3716463883166761,0.3259471136049229,0.17266423524854768,0.00791452451366881,-0.023027484996567576,0.024296594841004184,4.3500000000000005,4.28,1.06,3.7800000000000002,3.25,0.24,0.41000000000000003,4.87,2.6,2.61,2.66,2.64,5.73,5.64,2.99,4.62
52.119999999999976,0.3120863324292643,0.28248253685859565,0.15304310452313785,-0.01878973744831374,0.8780919187956346,1.0785198204019757,1.1094279128754159,0.9634834361271999,0.4750595351438706,0.4421844351472359,0.425916457285742,0.40360950821363006,0.15086969067210224,0.03218223462521084,0.009397994332264185,0.035795308834267715,0.62,3.93,4.16,1.3900000000000001,5.62,5.67,2.61,4.3100000000000005,1.53,1.57,4.76,1.6,1.84,1.68,1.54,1.42
52.129999999999974,0.19151262913363498,0.30821111231595444,0.267469811265731,0.1385990795948203,0.5208942560068927,0.7715270820588181,0.8249392897765015,0.3549527309803351,0.4511419391144361,0.37976341549517206,0.33411373470978617,0.3432005046809315,0.04165229537675905,-0.01812577941874258,0.10013806714413351,0.07092769272128975,3.17,3.41,3.5500000000000003,3.8000000000000003,4.76,1.6300000000000001,1.68,3.65,0.49,3.65,3.67,0.55,3.94,0.58,3.58,3.87
52.13999999999997,0.0564817922421855,0.3007790835430809,0.2860980447583059,0.19364793666466704,0.3951687868723977,0.5539725989105692,0.49428414773094725,0.5028318815332662,0.38863153009457213,0.32920511272977737,0.3168089182375038,0.2951157326971327,0.13915848961469557,0.038867249279102865,0.19063112164558768,0.06200202799079951,2.71,2.77,5.97,6.19,0.64,3.89,0.84,2.36,5.64,2.45,5.53,2.48,2.07,2.36,5.79,2.8000000000000003
