  2.2222258e-002  7.3263640e-004
  5.0061089e-002  2.1978380e-003
  8.4737521e-002  5.6166414e-003
  1.1892556e-001  1.0500646e-002
  1.5311359e-001  1.5873052e-002
  1.9316244e-001  2.5152662e-002
  3.2747257e-001  6.7155105e-002
  4.6813192e-001  1.2918197e-001
  6.0586085e-001  2.0537245e-001
  6.8107452e-001  2.5274730e-001
  7.0744815e-001  2.7374852e-001
  7.8510385e-001  3.2893777e-001
  8.2222233e-001  3.6068380e-001
  8.6324797e-001  3.8656905e-001
  9.2967043e-001  4.3833947e-001
