  2.1539100e-004  4.1880360e-001  1.8913312e+000
  1.1999852e+001  4.1880360e-001  1.8913312e+000
  2.3999704e+001  4.2124560e-001  1.8888892e+000
  3.5999557e+001  4.1880360e-001  1.8937732e+000
  4.7999409e+001  4.2124560e-001  1.8913312e+000
  5.9999264e+001  4.2124560e-001  1.8962152e+000
  7.1999115e+001  4.2368761e-001  1.8888892e+000
  8.3998970e+001  4.1880360e-001  1.9035412e+000
  9.5998817e+001  4.1880360e-001  1.8962152e+000
  1.0799867e+002  4.1636160e-001  1.9010992e+000
  1.1999853e+002  4.1880360e-001  1.8962152e+000
  1.3199860e+002  4.1147760e-001  1.0122102e+000
  1.4399844e+002  3.8949958e-001  1.0097682e+000
  1.5599808e+002  3.6019555e-001  1.0122102e+000
  1.6799794e+002  3.2356551e-001  1.0122102e+000
  1.7999779e+002  2.9426148e-001  1.0122102e+000
  1.9199785e+002  2.8449348e-001  2.9560442e+000
  2.0399771e+002  3.4065953e-001  2.9536023e+000
  2.1599756e+002  4.1880360e-001  2.9658122e+000
  2.2799719e+002  4.9694771e-001  2.9829063e+000
  2.3999706e+002  5.6288177e-001  2.9438343e+000
  2.5199690e+002  6.3125783e-001  2.9462762e+000
  2.6399677e+002  6.8253988e-001  2.9560442e+000
  2.7599661e+002  7.2649592e-001  2.9682543e+000
  2.8799646e+002  7.6800996e-001  2.9731383e+000
  2.9999652e+002  7.9487199e-001  2.9780223e+000
  3.1199637e+002  8.4615403e-001  4.2478638e+000
  3.2399600e+002  9.6825421e-001  4.2258854e+000
  3.3599588e+002  1.1025643e+000  4.2478638e+000
  3.4799573e+002  1.2173384e+000  4.2478638e+000
  3.5999557e+002  1.3296705e+000  4.2454214e+000
  3.7199564e+002  1.3663006e+000  1.6300368e+000
  3.8399527e+002  1.2661785e+000  1.6446888e+000
  3.9599512e+002  1.1343104e+000  1.6446888e+000
  4.0799500e+002  1.0170943e+000  1.6178268e+000
  4.1999484e+002  9.1208810e-001  1.6300368e+000
  4.3199469e+002  8.2417601e-001  2.3308916e+000
  4.4399454e+002  7.7045196e-001  2.3113556e+000
  4.5599438e+002  7.3626393e-001  2.3137975e+000
  4.6799423e+002  7.0940191e-001  2.3211236e+000
  4.7999411e+002  6.9474989e-001  2.3162396e+000
  4.9199396e+002  6.8742388e-001  3.7203910e+000
  5.0399402e+002  7.6068395e-001  3.7155070e+000
  5.1599390e+002  8.5348004e-001  3.7326009e+000
  5.2799353e+002  9.5116019e-001  3.7399271e+000
  5.3999335e+002  1.0293043e+000  3.7203910e+000
  5.5199323e+002  1.0854703e+000  2.3809543e-001
  5.6399304e+002  9.9755824e-001  2.3565343e-001
  5.7599292e+002  8.7545806e-001  2.3565343e-001
  5.8799280e+002  7.5579995e-001  2.3809543e-001
  5.9999261e+002  6.3858384e-001  2.3809543e-001
  6.1199249e+002  5.4578775e-001  2.3565343e-001
  6.2399231e+002  4.6275964e-001  2.3809543e-001
  6.3599219e+002  3.8217357e-001  2.3809543e-001
  6.4799200e+002  3.2844952e-001  2.3809543e-001
  6.5999188e+002  2.7472547e-001  2.3321141e-001
  6.7199176e+002  2.3809543e-001  2.1672773e+000
  6.8399158e+002  2.4786344e-001  2.1721613e+000
  6.9599146e+002  2.7228346e-001  2.1770453e+000
  7.0799127e+002  3.0891350e-001  2.1819294e+000
  7.1999115e+002  3.4310153e-001  2.1843715e+000
  7.3199103e+002  3.7240556e-001  3.1025643e+000
  7.4399084e+002  4.4566563e-001  3.1147745e+000
  7.5599072e+002  5.2380973e-001  3.1221004e+000
